timestamp,stationCode,stationName,latitude,longitude,radiacao,vento_rajada,vento_direcao,umid_max,umid_min,temp_max,pressao,pressao_min,pto_orvalho_inst,pto_orvalho_max,vento_vel,temp_min,pressao_max,pto_orvalho_min,temp_inst,umid_inst,precipitacao
1567306800000,A349,Ibimirim ,-8.509552,-37.711591,-3.54,4.8,197,71,65,21.9,967.0,967.0,14.9,15.1,2.2,20.4,967.4,14.8,20.5,71,0.0
1567310400000,A349,Ibimirim ,-8.509552,-37.711591,-3.54,3.6,190,77,71,20.5,966.4,966.4,15.0,15.1,0.9,19.1,967.0,14.7,19.1,77,0.0
1567314000000,A349,Ibimirim ,-8.509552,-37.711591,-3.54,2.6,162,82,77,19.1,966.1,966.1,15.5,15.6,1.3,18.7,966.4,15.0,18.7,82,0.0
1567317600000,A349,Ibimirim ,-8.509552,-37.711591,-3.54,3.2,147,84,81,18.9,965.8,965.8,15.6,15.8,1.7,18.4,966.1,15.4,18.4,84,0.0
1567321200000,A349,Ibimirim ,-8.509552,-37.711591,-3.54,3.0,159,87,84,18.4,965.7,965.7,15.3,15.7,1.7,17.5,965.8,15.1,17.6,87,0.0
1567324800000,A349,Ibimirim ,-8.509552,-37.711591,-3.54,3.0,234,88,86,17.9,966.0,965.7,15.3,15.7,0.6,17.3,966.0,15.1,17.3,88,0.0
1567328400000,A349,Ibimirim ,-8.509552,-37.711591,24.12,2.1,143,90,88,17.3,966.5,966.0,14.9,15.4,1.5,16.4,966.5,14.8,16.5,90,0.0
1567332000000,A349,Ibimirim ,-8.509552,-37.711591,583.1,3.5,146,91,79,19.9,967.1,966.5,16.1,16.4,1.7,16.5,967.1,15.0,19.9,79,0.0
1567335600000,A349,Ibimirim ,-8.509552,-37.711591,1478.0,4.8,130,79,65,22.6,967.8,967.1,15.4,16.4,2.4,19.9,967.9,15.4,22.2,65,0.0
1567339200000,A349,Ibimirim ,-8.509552,-37.711591,2287.0,5.0,130,66,54,25.1,968.4,967.8,15.0,15.7,2.6,22.2,968.4,14.6,24.9,54,0.0
1567342800000,A349,Ibimirim ,-8.509552,-37.711591,2908.0,6.6,130,55,46,26.9,967.6,967.6,14.4,15.3,3.4,24.6,968.4,13.9,26.6,47,0.0
1567346400000,A349,Ibimirim ,-8.509552,-37.711591,3316.0,6.5,158,47,37,29.3,966.4,966.4,13.2,14.4,1.7,26.5,967.6,12.7,29.0,38,0.0
1567350000000,A349,Ibimirim ,-8.509552,-37.711591,3530.0,6.1,124,39,30,31.4,965.3,965.3,11.9,13.8,1.4,28.9,966.4,11.4,30.6,32,0.0
1567353600000,A349,Ibimirim ,-8.509552,-37.711591,3266.0,7.6,170,33,27,32.8,963.8,963.8,11.1,12.3,2.7,29.9,965.3,10.5,32.8,27,0.0
1567357200000,A349,Ibimirim ,-8.509552,-37.711591,3019.0,7.6,223,29,26,32.7,962.9,962.8,10.3,11.2,2.4,31.4,963.8,9.8,32.2,26,0.0
1567360800000,A349,Ibimirim ,-8.509552,-37.711591,2424.0,5.4,168,27,23,33.5,962.2,962.2,10.3,10.9,2.8,32.0,962.9,9.2,33.2,25,0.0
1567364400000,A349,Ibimirim ,-8.509552,-37.711591,1233.0,7.7,163,27,24,33.4,962.2,962.1,10.7,10.7,3.0,31.8,962.2,9.5,32.6,26,0.0
1567368000000,A349,Ibimirim ,-8.509552,-37.711591,423.6,9.4,176,31,26,32.6,962.7,962.2,11.7,11.7,4.4,30.9,962.7,10.3,30.9,31,0.0
1567371600000,A349,Ibimirim ,-8.509552,-37.711591,43.79,10.1,166,40,31,30.9,963.1,962.7,13.9,13.9,5.2,28.9,963.2,11.6,28.9,40,0.0
1567375200000,A349,Ibimirim ,-8.509552,-37.711591,-3.54,9.8,169,48,40,28.9,963.7,963.1,15.2,15.2,5.1,27.4,963.7,14.0,27.4,48,0.0
1567378800000,A349,Ibimirim ,-8.509552,-37.711591,-3.54,11.9,143,62,48,27.4,964.4,963.7,17.7,17.7,5.5,25.4,964.4,15.3,25.4,62,0.0
1567382400000,A349,Ibimirim ,-8.509552,-37.711591,-3.54,10.5,164,69,62,25.4,965.1,964.4,18.2,18.2,4.3,24.2,965.1,17.7,24.2,69,0.0
1567386000000,A349,Ibimirim ,-8.509552,-37.711591,-3.54,8.0,171,73,69,24.2,966.0,965.1,18.1,18.3,3.1,23.3,966.1,18.1,23.3,73,0.0
1567389600000,A349,Ibimirim ,-8.509552,-37.711591,-3.54,5.3,158,74,73,23.3,966.1,966.0,17.8,18.1,2.3,22.6,966.1,17.8,22.6,74,0.0
1567393200000,A349,Ibimirim ,-8.509552,-37.711591,-3.54,4.7,161,76,74,22.6,965.8,965.8,17.5,17.8,2.2,22.0,966.1,17.5,22.0,76,0.0
1567396800000,A349,Ibimirim ,-8.509552,-37.711591,-3.54,4.3,164,79,76,22.0,965.5,965.5,17.4,17.5,2.2,21.1,965.8,17.3,21.1,79,0.0
1567400400000,A349,Ibimirim ,-8.509552,-37.711591,-3.54,4.0,166,82,79,21.1,965.1,965.0,17.6,17.6,1.6,20.7,965.5,17.4,20.7,82,0.0
1567404000000,A349,Ibimirim ,-8.509552,-37.711591,-3.54,3.6,140,85,82,20.7,965.0,964.9,17.7,17.8,1.9,20.3,965.1,17.5,20.3,85,0.0
1567407600000,A349,Ibimirim ,-8.509552,-37.711591,-3.54,3.1,133,87,85,20.3,965.1,964.9,17.6,17.8,1.7,19.9,965.1,17.5,20.0,86,0.0
1567411200000,A349,Ibimirim ,-8.509552,-37.711591,-3.54,3.2,140,88,86,20.0,965.6,965.1,17.8,17.8,2.2,19.6,965.6,17.5,20.0,87,0.0
1567414800000,A349,Ibimirim ,-8.509552,-37.711591,15.49,3.8,128,87,85,20.4,966.1,965.6,17.9,17.9,1.4,20.0,966.1,17.7,20.4,85,0.0
1567418400000,A349,Ibimirim ,-8.509552,-37.711591,211.4,2.9,137,85,80,21.5,966.6,966.1,18.0,18.1,2.0,20.4,966.6,17.9,21.5,80,0.0
1567422000000,A349,Ibimirim ,-8.509552,-37.711591,660.1,2.8,143,80,71,23.4,967.4,966.6,17.7,18.1,1.4,21.5,967.4,17.6,23.4,71,0.0
1567425600000,A349,Ibimirim ,-8.509552,-37.711591,1585.0,6.1,114,70,58,25.9,967.4,967.3,17.2,18.1,3.4,23.3,967.5,16.9,25.7,59,0.0
1567429200000,A349,Ibimirim ,-8.509552,-37.711591,2184.0,5.6,114,59,50,28.5,967.1,967.1,17.1,17.7,2.2,25.6,967.4,16.4,28.1,52,0.0
1567432800000,A349,Ibimirim ,-8.509552,-37.711591,2986.0,6.3,144,52,45,29.8,966.2,966.2,16.3,17.3,3.8,27.3,967.1,15.8,29.3,46,0.0
1567436400000,A349,Ibimirim ,-8.509552,-37.711591,3288.0,7.2,153,47,41,31.0,965.1,965.1,15.9,16.7,2.8,28.7,966.2,15.2,30.3,42,0.0
1567440000000,A349,Ibimirim ,-8.509552,-37.711591,2925.0,6.9,168,42,34,32.1,964.0,964.0,14.1,16.2,3.5,29.9,965.1,14.0,31.9,34,0.0
1567443600000,A349,Ibimirim ,-8.509552,-37.711591,3255.0,9.8,122,37,32,32.7,963.2,963.2,13.5,15.2,3.1,31.3,964.0,13.2,32.3,32,0.0
1567447200000,A349,Ibimirim ,-8.509552,-37.711591,2138.0,8.5,165,34,31,33.1,962.8,962.7,12.9,14.4,4.2,31.1,963.2,12.9,31.5,32,0.0
1567450800000,A349,Ibimirim ,-8.509552,-37.711591,1410.0,8.3,176,33,30,32.7,962.5,962.5,12.6,13.4,4.7,31.4,962.8,12.6,32.0,31,0.0
1567454400000,A349,Ibimirim ,-8.509552,-37.711591,399.2,8.3,170,31,30,32.1,962.7,962.4,12.3,12.8,4.0,31.2,962.7,12.1,31.2,31,0.0
1567458000000,A349,Ibimirim ,-8.509552,-37.711591,31.0,7.3,172,36,31,31.2,963.2,962.7,13.1,13.1,4.4,29.9,963.2,12.3,29.9,36,0.0
1567461600000,A349,Ibimirim ,-8.509552,-37.711591,-3.54,9.9,149,49,36,29.9,964.2,963.2,16.3,16.3,4.6,28.1,964.2,13.2,28.1,49,0.0
1567465200000,A349,Ibimirim ,-8.509552,-37.711591,-3.53,9.9,141,58,49,28.1,965.2,964.2,17.8,17.8,5.2,26.7,965.2,16.4,26.7,58,0.0
1567468800000,A349,Ibimirim ,-8.509552,-37.711591,-3.23,9.3,117,64,58,26.6,966.0,965.2,17.9,18.3,5.4,25.4,966.0,17.8,25.4,63,0.0
1567472400000,A349,Ibimirim ,-8.509552,-37.711591,-2.45,9.8,116,66,63,25.4,966.8,966.0,17.3,17.9,5.1,24.1,966.8,17.3,24.1,66,0.0
1567476000000,A349,Ibimirim ,-8.509552,-37.711591,-3.54,9.6,130,69,66,24.1,966.7,966.7,17.3,17.3,3.1,23.2,966.9,17.2,23.2,69,0.0
1567479600000,A349,Ibimirim ,-8.509552,-37.711591,-3.54,6.0,141,73,69,23.3,966.2,966.2,17.3,17.3,2.5,22.3,966.7,17.2,22.3,73,0.0
1567483200000,A349,Ibimirim ,-8.509552,-37.711591,-3.32,4.0,98,74,73,22.6,966.0,966.0,17.4,17.5,2.0,22.0,966.2,17.2,22.6,73,0.0
1567486800000,A349,Ibimirim ,-8.509552,-37.711591,-3.53,5.0,91,75,72,22.6,965.5,965.5,17.3,17.4,1.6,21.9,966.0,17.1,22.2,74,0.0
1567490400000,A349,Ibimirim ,-8.509552,-37.711591,-3.32,3.3,114,74,73,22.3,965.6,965.4,17.1,17.3,1.8,22.0,965.6,17.1,22.0,74,0.0
1567494000000,A349,Ibimirim ,-8.509552,-37.711591,-3.54,3.1,120,78,74,22.0,965.7,965.5,17.1,17.1,1.9,21.0,965.7,16.9,21.1,78,0.0
1567497600000,A349,Ibimirim ,-8.509552,-37.711591,-3.5,2.7,151,78,75,21.8,965.8,965.7,17.0,17.3,1.6,21.1,965.8,16.8,21.1,77,0.0
1567501200000,A349,Ibimirim ,-8.509552,-37.711591,29.95,2.8,142,78,75,21.8,966.3,965.8,17.3,17.3,1.8,21.0,966.3,16.9,21.8,75,0.0
1567504800000,A349,Ibimirim ,-8.509552,-37.711591,476.4,3.8,148,75,70,23.1,966.9,966.3,17.4,17.5,2.4,21.8,966.9,17.0,22.8,72,0.0
1567508400000,A349,Ibimirim ,-8.509552,-37.711591,801.2,5.5,145,72,66,24.0,967.6,966.9,17.3,17.7,2.8,22.8,967.6,17.1,23.9,67,0.0
1567512000000,A349,Ibimirim ,-8.509552,-37.711591,1426.0,5.5,113,67,54,26.6,968.1,967.6,16.6,17.5,2.3,23.8,968.1,16.4,26.2,55,0.0
1567515600000,A349,Ibimirim ,-8.509552,-37.711591,1951.0,5.8,114,56,49,28.6,967.6,967.6,16.1,17.6,2.4,26.2,968.1,16.1,27.8,49,0.0
1567519200000,A349,Ibimirim ,-8.509552,-37.711591,1674.0,6.8,137,51,44,29.0,966.9,966.9,15.2,16.6,2.6,27.6,967.6,15.2,28.6,44,0.0
1567522800000,A349,Ibimirim ,-8.509552,-37.711591,2649.0,7.1,136,46,37,31.3,966.2,966.1,14.6,15.6,2.7,28.4,966.9,14.0,30.6,38,0.0
1567526400000,A349,Ibimirim ,-8.509552,-37.711591,2183.0,6.5,166,39,35,31.3,965.3,965.3,14.4,14.9,3.0,29.8,966.2,13.3,31.0,36,0.0
1567530000000,A349,Ibimirim ,-8.509552,-37.711591,3132.0,9.1,177,38,33,33.0,964.3,964.3,14.3,15.2,2.8,30.4,965.3,13.8,32.4,33,0.0
1567533600000,A349,Ibimirim ,-8.509552,-37.711591,2635.0,9.8,158,37,33,32.7,964.1,964.1,14.4,14.9,4.8,31.3,964.4,14.0,32.4,34,0.0
1567537200000,A349,Ibimirim ,-8.509552,-37.711591,673.1,9.3,150,40,34,32.4,964.3,964.0,14.9,15.0,4.5,30.0,964.3,14.1,30.1,40,0.0
1567540800000,A349,Ibimirim ,-8.509552,-37.711591,315.6,10.2,158,46,39,30.3,964.4,964.2,16.1,16.1,5.4,29.1,964.4,14.7,29.1,46,0.0
1567544400000,A349,Ibimirim ,-8.509552,-37.711591,43.66,10.6,153,51,46,29.1,965.2,964.4,16.7,16.7,5.1,27.6,965.2,16.1,27.6,51,0.0
1567548000000,A349,Ibimirim ,-8.509552,-37.711591,-3.44,9.9,150,56,51,27.6,965.9,965.2,17.1,17.1,5.5,26.6,965.9,16.7,26.6,56,0.0
1567551600000,A349,Ibimirim ,-8.509552,-37.711591,-3.54,11.4,144,62,56,26.6,966.8,965.9,17.3,17.5,4.5,25.1,966.8,17.1,25.1,62,0.0
1567555200000,A349,Ibimirim ,-8.509552,-37.711591,-3.54,9.4,144,66,62,25.1,967.5,966.8,17.3,17.4,4.4,24.0,967.5,17.3,24.0,66,0.0
1567558800000,A349,Ibimirim ,-8.509552,-37.711591,-3.54,7.3,125,68,66,24.0,968.0,967.5,16.9,17.3,2.9,23.0,968.0,16.9,23.0,68,0.0
1567562400000,A349,Ibimirim ,-8.509552,-37.711591,-3.54,5.2,101,71,68,23.0,968.1,968.0,16.7,17.0,2.0,22.2,968.1,16.7,22.4,70,0.0
1567566000000,A349,Ibimirim ,-8.509552,-37.711591,-3.54,5.5,88,71,69,22.4,967.8,967.8,16.4,16.7,1.9,21.9,968.1,16.2,21.9,71,0.0
1567569600000,A349,Ibimirim ,-8.509552,-37.711591,-3.54,4.1,82,75,71,21.9,967.3,967.3,16.6,16.7,1.7,21.3,967.8,16.3,21.3,75,0.0
1567573200000,A349,Ibimirim ,-8.509552,-37.711591,-3.54,4.0,130,77,74,21.4,967.0,967.0,16.1,16.6,1.0,20.2,967.3,15.9,20.2,77,0.0
1567576800000,A349,Ibimirim ,-8.509552,-37.711591,-3.54,1.5,186,82,77,20.2,966.8,966.8,15.6,16.1,0.9,18.8,967.1,15.5,18.8,82,0.0
1567580400000,A349,Ibimirim ,-8.509552,-37.711591,-3.54,1.4,176,84,82,18.8,967.0,966.8,15.1,15.6,0.9,17.8,967.0,15.1,17.8,84,0.0
1567584000000,A349,Ibimirim ,-8.509552,-37.711591,-3.54,2.6,120,87,84,17.8,967.5,967.0,15.6,15.6,1.1,17.5,967.5,14.9,17.8,87,0.0
1567587600000,A349,Ibimirim ,-8.509552,-37.711591,25.85,2.7,167,87,82,18.5,967.9,967.5,14.8,15.9,1.1,17.3,967.9,14.4,17.4,85,0.0
1567591200000,A349,Ibimirim ,-8.509552,-37.711591,617.8,2.8,143,85,71,21.3,968.7,967.9,15.8,15.8,1.6,17.4,968.7,14.8,21.3,71,0.0
1567594800000,A349,Ibimirim ,-8.509552,-37.711591,1428.0,4.4,136,71,62,23.3,969.2,968.7,15.8,15.9,2.6,21.3,969.2,15.2,23.1,63,0.0
1567598400000,A349,Ibimirim ,-8.509552,-37.711591,1701.0,6.1,150,64,56,25.4,969.3,969.2,16.1,16.4,2.9,23.1,969.4,15.6,25.0,58,0.0
1567602000000,A349,Ibimirim ,-8.509552,-37.711591,2502.0,8.4,146,58,48,27.8,969.1,969.1,15.9,16.6,4.1,25.1,969.4,15.4,27.8,48,0.0
1567605600000,A349,Ibimirim ,-8.509552,-37.711591,2983.0,8.4,146,50,45,29.1,968.4,968.3,15.9,16.5,4.4,27.1,969.1,15.2,29.1,45,0.0
1567609200000,A349,Ibimirim ,-8.509552,-37.711591,2849.0,8.2,139,45,39,30.3,967.2,967.2,15.6,16.1,3.5,28.7,968.4,14.3,28.8,45,0.0
1567612800000,A349,Ibimirim ,-8.509552,-37.711591,2412.0,8.9,161,45,36,31.7,966.4,966.4,14.4,15.8,4.5,28.8,967.2,13.9,29.7,39,0.0
1567616400000,A349,Ibimirim ,-8.509552,-37.711591,2637.0,11.2,176,42,35,32.2,965.5,965.5,14.0,15.5,5.0,29.5,966.4,13.9,30.7,36,0.0
1567620000000,A349,Ibimirim ,-8.509552,-37.711591,2151.0,10.3,175,38,34,32.0,965.2,965.2,14.0,14.6,4.7,30.0,965.5,13.4,31.7,34,0.0
1567623600000,A349,Ibimirim ,-8.509552,-37.711591,1615.0,9.5,176,35,33,31.9,965.1,965.0,13.3,13.8,5.0,30.6,965.2,12.7,30.8,34,0.0
1567627200000,A349,Ibimirim ,-8.509552,-37.711591,410.9,12.0,168,45,34,30.9,965.4,965.1,15.7,15.7,6.6,28.7,965.5,13.0,28.7,45,0.0
1567630800000,A349,Ibimirim ,-8.509552,-37.711591,36.51,12.0,169,50,45,28.7,966.1,965.4,16.0,16.0,5.8,27.4,966.1,15.5,27.4,50,0.0
1567634400000,A349,Ibimirim ,-8.509552,-37.711591,-3.54,10.3,159,58,50,27.4,966.7,966.1,17.0,17.0,4.8,25.8,966.7,16.0,25.8,58,0.0
1567638000000,A349,Ibimirim ,-8.509552,-37.711591,-3.54,11.6,149,67,58,25.8,967.5,966.7,17.5,17.5,5.4,24.0,967.5,17.0,24.0,67,0.0
1567641600000,A349,Ibimirim ,-8.509552,-37.711591,-3.54,11.6,164,71,67,24.0,968.0,967.5,17.6,17.6,5.8,23.1,968.1,17.5,23.1,71,0.0
1567645200000,A349,Ibimirim ,-8.509552,-37.711591,-3.48,11.1,162,74,71,23.0,968.6,968.0,17.7,17.7,4.9,22.4,968.6,17.5,22.4,74,0.0
1567648800000,A349,Ibimirim ,-8.509552,-37.711591,-3.54,8.4,160,76,74,22.4,968.5,968.5,17.1,17.8,4.0,22.0,968.7,17.1,22.1,74,0.0
1567652400000,A349,Ibimirim ,-8.509552,-37.711591,-3.54,7.7,162,75,72,22.1,968.3,968.3,16.8,17.1,3.1,21.5,968.6,16.6,21.5,75,0.0
1567656000000,A349,Ibimirim ,-8.509552,-37.711591,-3.54,6.0,170,79,75,21.5,967.9,967.9,17.0,17.0,2.6,20.7,968.3,16.8,20.7,79,0.0
1567659600000,A349,Ibimirim ,-8.509552,-37.711591,-3.54,4.4,175,82,79,20.7,967.8,967.8,16.7,17.0,1.5,19.8,968.0,16.7,19.8,82,0.0
1567663200000,A349,Ibimirim ,-8.509552,-37.711591,-3.54,4.1,164,83,81,20.2,967.9,967.7,16.8,16.9,2.2,19.8,967.9,16.8,20.2,81,0.0
1567666800000,A349,Ibimirim ,-8.509552,-37.711591,-2.9,4.6,167,82,81,20.3,967.9,967.9,16.9,16.9,2.3,19.9,968.0,16.6,20.3,81,0.0
1567670400000,A349,Ibimirim ,-8.509552,-37.711591,-3.54,4.6,169,86,81,20.3,968.3,967.8,16.7,16.9,1.4,19.2,968.3,16.6,19.3,85,0.0
